timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684772118894,2,Home,200,OK,Thread Group 1-23,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772118894,1,Home-0,302,Found,Thread Group 1-23,,true,,146,126,25,25,http://localhost:8080/jpetstore,1,0,0
1684772118895,1,Home-1,200,OK,Thread Group 1-23,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772119466,3,Home,200,OK,Thread Group 1-25,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,0
1684772119466,2,Home-0,302,Found,Thread Group 1-25,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,0
1684772119468,1,Home-1,200,OK,Thread Group 1-25,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772119735,5,Home,200,OK,Thread Group 1-24,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,3,0,0
1684772119735,3,Home-0,302,Found,Thread Group 1-24,,true,,146,126,25,25,http://localhost:8080/jpetstore,3,0,0
1684772119738,2,Home-1,200,OK,Thread Group 1-24,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,2,0,0
1684772119802,2,Sign In,200,OK,Thread Group 1-14,text,true,,3921,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684772119828,6,Main Catalog,200,OK,Thread Group 1-19,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1684772119860,1,Sign In,200,OK,Thread Group 1-10,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684772119938,5,Login,200,OK,Thread Group 1-4,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772119938,3,Login-0,302,Found,Thread Group 1-4,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1684772119941,2,Login-1,200,OK,Thread Group 1-4,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684772119979,7,Login,200,OK,Thread Group 1-2,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1684772119979,5,Login-0,302,Found,Thread Group 1-2,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,5,0,0
1684772119984,2,Login-1,200,OK,Thread Group 1-2,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
